angle: j1: 0.02894858718347188, j2: -0.011579434868581128, j3: -0.026028558009082898, j4: -0.028948587183471874, j5: -1.5331883338652728, j6: 0.000981747704246811, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.054156711136660846, j2: -0.021139797475813134, j3: -0.05382114654777717, j4: -0.05421625199237241, j5: -1.4958792344747447, j6: 0.003998867510015017, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.07622245719503737, j2: -0.028764508677640147, j3: -0.08301239676305093, j4: -0.0764983252316347, j5: -1.459210138931167, j6: 0.008639330828561425, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.09563708329924248, j2: -0.0345684812193212, j3: -0.1132921259084029, j4: -0.09635291827621263, j5: -1.42340403189392, j6: 0.014564161584402182, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.11280394152007218, j2: -0.03868399588741969, j3: -0.14439817998846052, j4: -0.11422612513622742, j5: -1.388599435168411, j6: 0.02149936801912606, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.12805486716631112, j2: -0.04125057421176215, j3: -0.17610987456442645, j4: -0.13047441373889257, j5: -1.3548751352678061, j6: 0.02922580870067645, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.14166381415462784, j2: -0.042408015557937086, j3: -0.20824211595918282, j4: -0.14538330188146864, j5: -1.3222680956929675, j6: 0.03756929898120502, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.15385795108750114, j2: -0.04229182479783225, j3: -0.24064022048927258, j4: -0.15918240849924037, j5: -1.2907863260209003, j6: 0.04639188744264514, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.164826584153584, j2: -0.04103038427777283, j3: -0.2731754071548631, j4: -0.17205735503274294, j5: -1.260418079513496, j6: 0.05558455220042792, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.17472829157387598, j2: -0.038743362174262545, j3: -0.30574091440919, j4: -0.18415908194394667, j5: -1.2311384010160573, j6: 0.06506126040305989, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.18369661765207354, j2: -0.03554097349936224, j3: -0.3382486793346359, j4: -0.19561110939833617, j5: -1.20291377100747, j6: 0.07475421678991442, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.19184462032437136, j2: -0.03152381189112267, j3: -0.37062651368472754, j4: -0.20651519122325904, j5: -1.1757053845076944, j6: 0.08461009988307353, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.19926851145721008, j2: -0.02678304967321181, j3: -0.40281571267236305, j4: -0.2169557249460314, j5: -1.1494714518867903, j6: 0.0945870964404103, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.2060505807249793, j2: -0.02140086341942862, j3: -0.43476903684130025, j4: -0.2270032030778663, j5: -1.1241687990428908, j6: 0.104652571137612, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.21226155357560014, j2: -0.015450986190266663, j3: -0.46644901332042343, j4: -0.2367169263797708, j5: -1.0997539657639193, j6: 0.11478123741873762, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.2179625013099631, j2: -0.008999319323345824, j3: -0.497826509244947, j4: -0.24614714859535908, j5: -1.0761839447843642, j6: 0.12495372212970081, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.22320639562506187, j2: -0.002104559208636585, j3: -0.5288795365416562, j4: -0.255336782332519, j5: -1.0534166637585802, j6: 0.13515543925170656, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.22803937988766576, j2: 0.005181189711409034, j3: -0.5595922532883032, j4: -0.26432276528865767, j5: -1.0314112835099045, j6: 0.14537570659122268, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.23250181378292456, j2: 0.012811833552168774, j3: -0.5899541323159656, j4: -0.27313716284566597, j5: -1.0101283651959079, j6: 0.15560705407678646, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.23662913585641365, j2: 0.020746749620287164, j3: -0.6199592725824491, j4: -0.2818080655296351, j5: -0.9895299441137534, j6: 0.1658446839690798, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.2404525790565036, j2: 0.02895029455065249, j3: -0.6496058331254533, j4: -0.29036032659623306, j5: -0.9695795370903052, j6: 0.1760860524222224, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.2439997670684921, j2: 0.037391362256712087, j3: -0.6788955731650475, j4: -0.29881617502957497, j5: -0.9502421025727763, j6: 0.18633054898584128, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.24729521353191009, j2: 0.04604299207733645, j3: -0.7078334852459499, j4: -0.307195731745777, j5: -0.9314839668091937, j6: 0.19657925626609135, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.2503607417771848, j2: 0.054882026459346145, j3: -0.736427511283216, j4: -0.31551745118688773, j5: -0.9132727252739078, j6: 0.20683477644271017, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.2532158392230584, j2: 0.06388881710698367, j3: -0.7646883341008359, j4: -0.3237985063466775, j5: -0.8955771253086984, j6: 0.21710111497153692, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.25587795782408784, j2: 0.07304697859804431, j3: -0.7926292396415466, j4: -0.33205513227813455, j5: -0.8783669334871722, j6: 0.22738361483709127, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.25836276978149425, j2: 0.08234318891771061, j3: -0.8202660476022601, j4: -0.3403029410810385, j5: -0.8616127892196009, j6: 0.2376889373702122, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.2606843860028085, j2: 0.09176703715693192, j3: -0.847617110960618, j4: -0.34855722012420276, j5: -0.8452860443970722, j6: 0.24802508810378773, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.26285554341802697, j2: 0.10131091977440956, j3: -0.8747033878900097, j4: -0.3568332247602669, j5: -0.8293585872539879, j6: 0.25840148859562795, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.2648877661567526, j2: 0.11096998839504733, j3: -0.9015485931595649, j4: -0.36514647705291087, j5: -0.8138026469374596, j6: 0.26882909781106096, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.2667915047036457, j2: 0.12074215424317489, j3: -0.928179440625735, j4: -0.37351308315169346, j5: -0.798590573323638, j6: 0.2793205897852997, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.26857625643315375, j2: 0.13062815720518142, j3: -0.9546259943412058, j4: -0.38195008412107656, j5: -0.7836945841796348, j6: 0.28989059822048957, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.2702506703436983, j2: 0.14063171153549575, j3: -0.9809221538816563, j4: -0.3904758586154768, j5: -0.7690864685111253, j6: 0.30055604390725665, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.27182263833873965, j2: 0.1507597459234022, j3: -1.0071063108738263, j4: -0.39911060138816773, j5: -0.754737230379936, j6: 0.31133656813884003, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.27329937501583496, j2: 0.16102276392990536, j3: -1.033222230228157, j4: -0.4078769102119545, j5: -0.740616650876519, j6: 0.3222551057738255, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.27468748760797573, j2: 0.17143536316787317, j3: -1.059320234218289, j4: -0.41680052700785797, j5: -0.7266927360831412, j6: 0.33333864719342915, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.27599303746072995, j2: 0.18201697053338503, j3: -1.085458805313585, j4: -0.4259112995929014, j5: -0.7129310037488187, j6: 0.3446192622603385, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.27722159421341486, j2: 0.1927928806331085, j3: -1.1117067832271075, j4: -0.4352444632853879, j5: -0.6992935375317012, j6: 0.3561354970014561, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.2783782836742925, j2: 0.20379573305934326, j3: -1.138146428525544, j4: -0.4448423952986201, j5: -0.6857376988071283, j6: 0.3679343149329576, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.27946783023199634, j2: 0.21506764581915314, j3: -1.1648777883096684, j4: -0.45475708555822963, j5: -0.6722143205620024, j6: 0.3800738580372428, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.2804945945229349, j2: 0.22666336523511335, j3: -1.1920250853151746, j4: -0.4650537267778096, j5: -0.6586650931475126, j6: 0.3926274830778725, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.28146260697353254, j2: 0.23865505486146343, j3: -1.2197463759867482, j4: -0.47581611893907144, j5: -0.6450186411862854, j6: 0.4056898604284315, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.28146260697353254, j2: 0.23865505486146343, j3: -1.2197463759867482, j4: -0.47581611893907144, j5: -0.6450186411862854, j6: 0.1, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.28146260697353254, j2: 0.23865505486146343, j3: -1.2197463759867482, j4: -0.47581611893907144, j5: -0.6450186411862854, j6: 0.2, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.28146260697353254, j2: 0.23865505486146343, j3: -1.2197463759867482, j4: -0.47581611893907144, j5: -0.6450186411862854, j6: 0.30000000000000004, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.28146260697353254, j2: 0.23865505486146343, j3: -1.2197463759867482, j4: -0.47581611893907144, j5: -0.6450186411862854, j6: 0.4, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.28146260697353254, j2: 0.23865505486146343, j3: -1.2197463759867482, j4: -0.47581611893907144, j5: -0.6450186411862854, j6: 0.5, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.28146260697353254, j2: 0.23865505486146343, j3: -1.2197463759867482, j4: -0.47581611893907144, j5: -0.6450186411862854, j6: 0.6, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.28146260697353254, j2: 0.23865505486146343, j3: -1.2197463759867482, j4: -0.47581611893907144, j5: -0.6450186411862854, j6: 0.7, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.28146260697353254, j2: 0.23865505486146343, j3: -1.2197463759867482, j4: -0.47581611893907144, j5: -0.6450186411862854, j6: 0.7999999999999999, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.28146260697353254, j2: 0.23865505486146343, j3: -1.2197463759867482, j4: -0.47581611893907144, j5: -0.6450186411862854, j6: 0.8999999999999999, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.28146260697353254, j2: 0.23865505486146343, j3: -1.2197463759867482, j4: -0.47581611893907144, j5: -0.6450186411862854, j6: 0.9999999999999999, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.28146260697353254, j2: 0.23865505486146343, j3: -1.2197463759867482, j4: -0.47581611893907144, j5: -0.6450186411862854, j6: 1.0999999999999999, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.28146260697353254, j2: 0.23865505486146343, j3: -1.2197463759867482, j4: -0.47581611893907144, j5: -0.6450186411862854, j6: 1.2, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.28146260697353254, j2: 0.23865505486146343, j3: -1.2197463759867482, j4: -0.47581611893907144, j5: -0.6450186411862854, j6: 1.3, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.28146260697353254, j2: 0.23865505486146343, j3: -1.2197463759867482, j4: -0.47581611893907144, j5: -0.6450186411862854, j6: 1.4000000000000001, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.28146260697353254, j2: 0.23865505486146343, j3: -1.2197463759867482, j4: -0.47581611893907144, j5: -0.6450186411862854, j6: 1.5000000000000002, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.28146260697353254, j2: 0.23865505486146343, j3: -1.2197463759867482, j4: -0.47581611893907144, j5: -0.6450186411862854, j6: 1.570796325, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.28146260697353254, j2: 0.23865505486146343, j3: -1.2197463759867482, j4: -0.47581611893907144, j5: -0.6450186411862854, j6: 1.5000000000000002, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.28146260697353254, j2: 0.23865505486146343, j3: -1.2197463759867482, j4: -0.47581611893907144, j5: -0.6450186411862854, j6: 1.4000000000000001, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.28146260697353254, j2: 0.23865505486146343, j3: -1.2197463759867482, j4: -0.47581611893907144, j5: -0.6450186411862854, j6: 1.3, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.28146260697353254, j2: 0.23865505486146343, j3: -1.2197463759867482, j4: -0.47581611893907144, j5: -0.6450186411862854, j6: 1.2, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.28146260697353254, j2: 0.23865505486146343, j3: -1.2197463759867482, j4: -0.47581611893907144, j5: -0.6450186411862854, j6: 1.0999999999999999, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.28146260697353254, j2: 0.23865505486146343, j3: -1.2197463759867482, j4: -0.47581611893907144, j5: -0.6450186411862854, j6: 0.9999999999999999, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.28146260697353254, j2: 0.23865505486146343, j3: -1.2197463759867482, j4: -0.47581611893907144, j5: -0.6450186411862854, j6: 0.8999999999999999, safemode: 0, brake: 0, gripper: 1, dt: 1000
