angle: j1: 0.058, j2: -0.023, j3: -0.052, j4: -0.058, j5: -1.496, j6: 0.002, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.101, j2: -0.038, j3: -0.111, j4: -0.102, j5: -1.422, j6: 0.012, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.135, j2: -0.046, j3: -0.174, j4: -0.137, j5: -1.352, j6: 0.026, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.161, j2: -0.047, j3: -0.239, j4: -0.166, j5: -1.287, j6: 0.044, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.182, j2: -0.044, j3: -0.305, j4: -0.19, j5: -1.226, j6: 0.063, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.199, j2: -0.037, j3: -0.371, j4: -0.213, j5: -1.17, j6: 0.083, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.212, j2: -0.026, j3: -0.436, j4: -0.233, j5: -1.118, j6: 0.103, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.224, j2: -0.014, j3: -0.5, j4: -0.252, j5: -1.07, j6: 0.124, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.234, j2: 0.001, j3: -0.562, j4: -0.27, j5: -1.025, j6: 0.145, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.242, j2: 0.017, j3: -0.623, j4: -0.287, j5: -0.982, j6: 0.166, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.249, j2: 0.034, j3: -0.683, j4: -0.304, j5: -0.943, j6: 0.187, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.255, j2: 0.052, j3: -0.741, j4: -0.32, j5: -0.906, j6: 0.208, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.26, j2: 0.071, j3: -0.798, j4: -0.336, j5: -0.871, j6: 0.228, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.264, j2: 0.09, j3: -0.853, j4: -0.353, j5: -0.838, j6: 0.249, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.268, j2: 0.11, j3: -0.908, j4: -0.369, j5: -0.807, j6: 0.27, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.272, j2: 0.13, j3: -0.961, j4: -0.386, j5: -0.777, j6: 0.292, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.275, j2: 0.15, j3: -1.014, j4: -0.403, j5: -0.748, j6: 0.313, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.277, j2: 0.171, j3: -1.066, j4: -0.42, j5: -0.72, j6: 0.335, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.28, j2: 0.193, j3: -1.119, j4: -0.439, j5: -0.693, j6: 0.358, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.282, j2: 0.216, j3: -1.172, j4: -0.458, j5: -0.666, j6: 0.382, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.284, j2: 0.239, j3: -1.227, j4: -0.479, j5: -0.639, j6: 0.408, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.285, j2: 0.265, j3: -1.284, j4: -0.502, j5: -0.612, j6: 0.436, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.285, j2: 0.265, j3: -1.284, j4: -0.502, j5: -0.612, j6: 0.1, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.285, j2: 0.265, j3: -1.284, j4: -0.502, j5: -0.612, j6: 0.2, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.285, j2: 0.265, j3: -1.284, j4: -0.502, j5: -0.612, j6: 0.3, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.285, j2: 0.265, j3: -1.284, j4: -0.502, j5: -0.612, j6: 0.4, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.285, j2: 0.265, j3: -1.284, j4: -0.502, j5: -0.612, j6: 0.5, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.285, j2: 0.265, j3: -1.284, j4: -0.502, j5: -0.612, j6: 0.6, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.285, j2: 0.265, j3: -1.284, j4: -0.502, j5: -0.612, j6: 0.7, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.285, j2: 0.265, j3: -1.284, j4: -0.502, j5: -0.612, j6: 0.8, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.285, j2: 0.265, j3: -1.284, j4: -0.502, j5: -0.612, j6: 0.9, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.285, j2: 0.265, j3: -1.284, j4: -0.502, j5: -0.612, j6: 1.0, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.285, j2: 0.265, j3: -1.284, j4: -0.502, j5: -0.612, j6: 1.1, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.285, j2: 0.265, j3: -1.284, j4: -0.502, j5: -0.612, j6: 1.2, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.285, j2: 0.265, j3: -1.284, j4: -0.502, j5: -0.612, j6: 1.3, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.285, j2: 0.265, j3: -1.284, j4: -0.502, j5: -0.612, j6: 1.4, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.285, j2: 0.265, j3: -1.284, j4: -0.502, j5: -0.612, j6: 1.5, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.285, j2: 0.265, j3: -1.284, j4: -0.502, j5: -0.612, j6: 1.571, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.285, j2: 0.265, j3: -1.284, j4: -0.502, j5: -0.612, j6: 1.5, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.285, j2: 0.265, j3: -1.284, j4: -0.502, j5: -0.612, j6: 1.4, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.285, j2: 0.265, j3: -1.284, j4: -0.502, j5: -0.612, j6: 1.3, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.285, j2: 0.265, j3: -1.284, j4: -0.502, j5: -0.612, j6: 1.2, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.285, j2: 0.265, j3: -1.284, j4: -0.502, j5: -0.612, j6: 1.1, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.285, j2: 0.265, j3: -1.284, j4: -0.502, j5: -0.612, j6: 1.0, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.285, j2: 0.265, j3: -1.284, j4: -0.502, j5: -0.612, j6: 0.9, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.285, j2: 0.265, j3: -1.284, j4: -0.502, j5: -0.612, j6: 0.8, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.285, j2: 0.265, j3: -1.284, j4: -0.502, j5: -0.612, j6: 0.7, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.285, j2: 0.265, j3: -1.284, j4: -0.502, j5: -0.612, j6: 0.6, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.285, j2: 0.265, j3: -1.284, j4: -0.502, j5: -0.612, j6: 0.5, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.285, j2: 0.265, j3: -1.284, j4: -0.502, j5: -0.612, j6: 0.4, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.285, j2: 0.265, j3: -1.284, j4: -0.502, j5: -0.612, j6: 0.3, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.285, j2: 0.265, j3: -1.284, j4: -0.502, j5: -0.612, j6: 0.2, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.285, j2: 0.265, j3: -1.284, j4: -0.502, j5: -0.612, j6: 0.1, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.285, j2: 0.265, j3: -1.284, j4: -0.502, j5: -0.612, j6: 0.0, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.285, j2: 0.265, j3: -1.284, j4: -0.502, j5: -0.612, j6: -0.1, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.27, j2: 0.034, j3: -0.767, j4: -0.283, j5: -0.857, j6: -0.306, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.255, j2: -0.012, j3: -0.619, j4: -0.246, j5: -0.95, j6: -0.303, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.24, j2: -0.039, j3: -0.512, j4: -0.22, j5: -1.024, j6: -0.289, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.225, j2: -0.056, j3: -0.428, j4: -0.2, j5: -1.087, j6: -0.272, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.21, j2: -0.066, j3: -0.361, j4: -0.183, j5: -1.141, j6: -0.253, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.196, j2: -0.071, j3: -0.306, j4: -0.168, j5: -1.188, j6: -0.234, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.182, j2: -0.073, j3: -0.261, j4: -0.154, j5: -1.23, j6: -0.216, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.169, j2: -0.072, j3: -0.224, j4: -0.142, j5: -1.267, j6: -0.199, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.156, j2: -0.071, j3: -0.193, j4: -0.131, j5: -1.3, j6: -0.183, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.144, j2: -0.068, j3: -0.166, j4: -0.121, j5: -1.329, j6: -0.167, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.132, j2: -0.064, j3: -0.144, j4: -0.111, j5: -1.354, j6: -0.153, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.122, j2: -0.061, j3: -0.125, j4: -0.102, j5: -1.377, j6: -0.14, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.112, j2: -0.057, j3: -0.109, j4: -0.094, j5: -1.398, j6: -0.127, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.102, j2: -0.053, j3: -0.095, j4: -0.086, j5: -1.416, j6: -0.116, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.093, j2: -0.049, j3: -0.083, j4: -0.079, j5: -1.433, j6: -0.106, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.085, j2: -0.045, j3: -0.073, j4: -0.072, j5: -1.447, j6: -0.096, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.078, j2: -0.041, j3: -0.064, j4: -0.066, j5: -1.46, j6: -0.087, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.071, j2: -0.038, j3: -0.056, j4: -0.06, j5: -1.472, j6: -0.079, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.064, j2: -0.034, j3: -0.049, j4: -0.055, j5: -1.482, j6: -0.072, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.059, j2: -0.031, j3: -0.044, j4: -0.05, j5: -1.491, j6: -0.065, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.053, j2: -0.028, j3: -0.039, j4: -0.045, j5: -1.499, j6: -0.059, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.048, j2: -0.026, j3: -0.034, j4: -0.041, j5: -1.507, j6: -0.053, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.044, j2: -0.023, j3: -0.03, j4: -0.037, j5: -1.513, j6: -0.048, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.04, j2: -0.021, j3: -0.027, j4: -0.034, j5: -1.519, j6: -0.043, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.036, j2: -0.019, j3: -0.024, j4: -0.031, j5: -1.525, j6: -0.039, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.032, j2: -0.017, j3: -0.021, j4: -0.028, j5: -1.529, j6: -0.035, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.082, j2: -0.036, j3: -0.078, j4: -0.078, j5: -1.455, j6: -0.026, safemode: 0, brake: 0, gripper: 1, dt: 1000
